iso2c	edate	party	partyname	parfam	thrs	thrs_l	er.v.c	er.v.c_l	er.in	er.in_l	rile.logit	per607	per608	multic.logit_fd	per608_fd	multic.ratio_fd	af.bipolar_fd	meguid.bipolar_fd	env.logit_fd
"AT"	1983-04-24	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	1.171875	1.171875	-1.171875	-1.171875	0.0	"0"	-0.923184012686592	0.0	0.0	2.7124405494035	0.0	NaN	-9.0	-10.1	-1.26177160818736
"AT"	1986-11-23	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	1.171875	1.171875	8.55992022310348	-1.171875	1.0	"0"	-0.319895610609021	0.0	0.0	0.0	0.0	NaN	2.1	4.2	0.76359794502456
"AT"	1990-10-07	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	1.171875	1.171875	15.4628887162495	8.55992022310348	1.0	"1"	-0.370067779826158	0.4	0.0	-1.89671990486454	0.0	NaN	1.0	0.5	-2.3734385824205
"AT"	1994-10-09	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	4.0	1.171875	18.4974390874043	15.4628887162495	1.0	"1"	-0.480957758309727	0.165	0.0	0.798174285085419	0.0	0.0	-1.58	-2.685	2.689025893242
"AT"	1995-12-17	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	4.0	4.0	17.8852337865444	18.4974390874043	1.0	"1"	0.807084288980929	0.0	0.0	1.09854561977912	0.0	NaN	3.314	4.363	0.985569897932083
"AT"	1999-10-03	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	4.0	4.0	22.9145938938865	17.8852337865444	1.0	"1"	-0.848792751880411	0.0	0.0	0.0	0.0	NaN	-2.243	-4.684	-1.94528594555689
"AT"	2002-11-24	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	4.0	4.0	6.00740379396066	22.9145938938865	1.0	"1"	-0.68821172588936	2.22	0.0	-3.6637257352304	0.0	NaN	-3.56	-2.897	1.07722493165517
"AT"	2006-10-01	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	4.0	4.0	7.03583239827869	6.00740379396066	1.0	"1"	-0.640315631113575	1.942	1.248	3.24054124935643	1.248	0.782445141065831	7.548	6.534	-0.249170726040893
"AT"	2008-09-28	42320.0	"SPÖ Austrian Social Democratic Party"	30.0	4.0	4.0	13.5358054913246	7.03583239827869	1.0	"1"	-0.772568056706811	0.665	0.914	0.72507289992065	-0.334	0.375249602442719	-0.312000000000001	-0.727000000000001	-0.390740599708883
"AT"	1983-04-24	42520.0	"ÖVP Austrian People’s Party"	50.0	1.171875	1.171875	-1.171875	-1.171875	0.0	"0"	0.0470127892995022	0.0	0.0	0.0	0.0	NaN	4.0	4.6	-0.883261683480935
"AT"	1986-11-23	42520.0	"ÖVP Austrian People’s Party"	50.0	1.171875	1.171875	8.55992022310348	-1.171875	1.0	"0"	1.39277246626231	0.0	0.0	0.0	0.0	NaN	-3.3	-0.6	-1.38064328561527
"AT"	1990-10-07	42520.0	"ÖVP Austrian People’s Party"	50.0	1.171875	1.171875	15.4628887162495	8.55992022310348	1.0	"1"	0.18945843003619	0.4	0.0	-1.52605630349505	0.0	NaN	1.0	0.6	-1.10406189343567
"AT"	1994-10-09	42520.0	"ÖVP Austrian People’s Party"	50.0	4.0	1.171875	18.4974390874043	15.4628887162495	1.0	"1"	0.921289896486692	1.457	0.0	-1.97032155259036	0.0	0.0	6.741	6.209	1.26083533268509
"AT"	1995-12-17	42520.0	"ÖVP Austrian People’s Party"	50.0	4.0	4.0	17.8852337865444	18.4974390874043	1.0	"1"	1.70686677647363	0.0	0.0	3.4963778560854	0.0	NaN	-7.741	-9.692	3.85054683018505
"AT"	1999-10-03	42520.0	"ÖVP Austrian People’s Party"	50.0	4.0	4.0	22.9145938938865	17.8852337865444	1.0	"1"	0.539617308608785	0.0	0.497	2.83282856415557	0.497	NaN	9.882	16.985	-1.93828814747465
"AT"	2002-11-24	42520.0	"ÖVP Austrian People’s Party"	50.0	4.0	4.0	6.00740379396066	22.9145938938865	1.0	"1"	-0.0220589333013415	1.222	0.0	-6.59374771014829	-0.497	-2.0	-6.156	-12.337	-3.9994741698312
"AT"	2006-10-01	42520.0	"ÖVP Austrian People’s Party"	50.0	4.0	4.0	7.03583239827869	6.00740379396066	1.0	"1"	-0.121174276183789	0.194	2.233	6.097090080896	2.233	1.8401318500206	8.847	8.285	1.99791305869098
"AT"	2008-09-28	42520.0	"ÖVP Austrian People’s Party"	50.0	4.0	4.0	13.5358054913246	7.03583239827869	1.0	"1"	-0.0384476245630728	0.656	2.951	-0.922773634264124	0.718	-0.20386902773061	3.82	3.535	1.69885356126063
"BG"	1997-04-19	80220.0	"BSP Bulgarian Socialist Party"	30.0	4.0	4.0	-4.0	-4.0	0.0	"0"	0.776774924840374	0.0	0.0	2.39804071676634	0.0	NaN	5.458	6.143	-1.24066041618346
"BG"	2005-06-25	80220.0	"BSP Bulgarian Socialist Party"	30.0	4.0	4.0	4.1368859021917	-4.0	1.0	"0"	-0.680817661073068	0.38	0.0						
"BG"	1997-04-19	80229.0	"DL Democratic Left"	30.0	4.0	4.0	-4.0	-4.0	0.0	"0"	0.776774924840374	0.0	0.0			NaN			
"BG"	1997-04-19	80411.0	"ODS United Democratic Forces"	40.0	4.0	4.0	-4.0	-4.0	0.0	"0"	0.951298453937421	0.0	0.0			NaN			
"BG"	2001-06-18	80411.0	"ODS United Democratic Forces"	40.0	4.0	4.0	-4.0	-4.0	0.0	"0"	0.539276206028232	1.947	0.0	-3.71336180069752	0.0	NaN	-7.608	-11.198	1.60970080262752
"BG"	2005-06-25	80411.0	"ODS United Democratic Forces"	40.0	4.0	4.0	4.1368859021917	-4.0	1.0	"0"	0.456165317946655	0.0	0.0	3.71336180069752	0.0	NaN	2.357	2.357	0.36716606677122
"BG"	2001-06-18	80902.0	"NDSV National Movement Simeon the Second"	40.0	4.0	4.0	-4.0	-4.0	0.0	"0"	-0.419164477059393	0.189	0.0						
"BG"	2005-06-25	80902.0	"NDSV National Movement Simeon the Second"	40.0	4.0	4.0	4.1368859021917	-4.0	1.0	"0"	-0.297533672953085	0.778	0.0	-0.510736275124197	0.0	0.0	3.657	4.435	0.636245014406878
"CH"	1983-10-23	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6666666667	9.39093019130826	9.93612734706278	1.0	"1"	-1.39012336657873	0.0	0.0	0.0	0.0	NaN	-0.58	-1.274	-0.781724321580248
"CH"	1987-10-18	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	9.33171622014597	9.39093019130826	1.0	"1"	-0.344854612896913	0.0	0.0	0.0	0.0	NaN	3.472	5.787	1.76074637008797
"CH"	1991-10-20	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	10.2081424517326	9.33171622014597	1.0	"1"	-1.65071748145254	0.0	0.0	0.0	0.0	NaN	-3.205	-5.173	0.20414823122537
"CH"	1995-10-22	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	13.2866638604803	10.2081424517326	1.0	"1"	-1.03367434959173	0.0	0.0	0.0	0.0	NaN	-1.43	-5.103	-1.4351837687816
"CH"	1999-10-24	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	20.8515882408932	13.2866638604803	1.0	"1"	-1.7943286766338	0.797	1.594	0.636001051660033	1.594	NaN	-4.364	-0.691	2.56482297063651
"CH"	2003-10-19	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	24.958475555036	20.8515882408932	1.0	"1"	-1.68796024519516	0.632	0.253	-1.42380652021525	-1.341	-0.761581920903955	4.928	1.893	-1.01430162152507
"CH"	2007-10-21	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	27.2049000511817	24.958475555036	1.0	"1"	-1.07975999749433	1.137	1.4	0.988900377658501	1.147	0.531914334515832	4.102	5.474	1.20321949530182
"CH"	2011-10-23	43320.0	"SPS/PSS Social Democratic Party of Switzerland"	30.0	1.6921524934	1.6921524934	24.8640684602536	27.2049000511817	1.0	"1"	-2.39787729339812	0.0	0.0	-0.20109490910328	-1.4	NaN	-3.85	-3.595	-0.80786656790121
